S&S_Title	Wikidata_ID	Director	Director_gender	Screenwriter	Screenwriter_gender	Original_Title	English_Title	IMDb ID	Genre	RT_Score(%)	IMDb_Rating	Language	Silent	Actors	Runtime(min)	Rated	Country	Year	2022_Poll	2012_Poll	Position_2022	Position_2012	OMDb
Rashomon	Q135465	Akira Kurosawa	male	Shinobu Hashimoto&Akira Kurosawa&Ryūnosuke Akutagawa	male&male&male	羅生門	Rashomon	tt0042876	Crime, Drama, Mystery	98	8.2	Japanese	false	Toshirô Mifune, Machiko Kyô, Masayuki Mori	88	Not Rated	Japan	1950	true	true	41	26	"{""Title"":""Rashomon"",""Year"":""1950"",""Rated"":""Not Rated"",""Released"":""26 Dec 1951"",""Runtime"":""88 min"",""Genre"":""Crime, Drama, Mystery"",""Director"":""Akira Kurosawa"",""Writer"":""Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto"",""Actors"":""Toshirô Mifune, Machiko Kyô, Masayuki Mori"",""Plot"":""The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."",""Language"":""Japanese"",""Country"":""Japan"",""Awards"":""Nominated for 1 Oscar. 9 wins & 5 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""},{""Source"":""Metacritic"",""Value"":""98/100""}],""Metascore"":""98"",""imdbRating"":""8.2"",""imdbVotes"":""168,826"",""imdbID"":""tt0042876"",""Type"":""movie"",""DVD"":""02 Apr 2002"",""BoxOffice"":""$46,808"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Sunset Blvd	Q193570	Billy Wilder	male	Charles Brackett&Billy Wilder&D. M. Marshman, Jr.	male&male&male	Sunset Blvd.	Sunset Blvd.	tt0043014	Drama, Film-Noir	98	8.4	English	false	William Holden, Gloria Swanson, Erich von Stroheim	110	Passed	United States	1950	true	true	78	63	"{""Title"":""Sunset Blvd."",""Year"":""1950"",""Rated"":""Passed"",""Released"":""04 Aug 1950"",""Runtime"":""110 min"",""Genre"":""Drama, Film-Noir"",""Director"":""Billy Wilder"",""Writer"":""Charles Brackett, Billy Wilder, D.M. Marshman Jr."",""Actors"":""William Holden, Gloria Swanson, Erich von Stroheim"",""Plot"":""A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return."",""Language"":""English"",""Country"":""United States"",""Awards"":""Won 3 Oscars. 19 wins & 20 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.4/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""}],""Metascore"":""N/A"",""imdbRating"":""8.4"",""imdbVotes"":""221,829"",""imdbID"":""tt0043014"",""Type"":""movie"",""DVD"":""11 Nov 2008"",""BoxOffice"":""$299,645"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Singin’ in the Rain	Q309153	Gene Kelly&Stanley Donen	male&male	Betty Comden&Adolph Green	female&male	Singin' in the Rain	Singin' in the Rain	tt0045152	Comedy, Musical, Romance	100	8.3	English	false	Gene Kelly, Donald O'Connor, Debbie Reynolds	103	G	United States	1951	true	true	10	20	"{""Title"":""Singin' in the Rain"",""Year"":""1952"",""Rated"":""G"",""Released"":""11 Apr 1952"",""Runtime"":""103 min"",""Genre"":""Comedy, Musical, Romance"",""Director"":""Stanley Donen, Gene Kelly"",""Writer"":""Betty Comden, Adolph Green"",""Actors"":""Gene Kelly, Donald O'Connor, Debbie Reynolds"",""Plot"":""A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood."",""Language"":""English"",""Country"":""United States"",""Awards"":""Nominated for 2 Oscars. 7 wins & 9 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""},{""Source"":""Metacritic"",""Value"":""99/100""}],""Metascore"":""99"",""imdbRating"":""8.3"",""imdbVotes"":""242,677"",""imdbID"":""tt0045152"",""Type"":""movie"",""DVD"":""24 Sep 2002"",""BoxOffice"":""$1,884,537"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Madame de…	Q1444707	Max Ophüls	male	Marcel Achard&Max Ophüls&Annette Wademant&Louise Lévêque de Vilmorin	male&male&female&female	Madame de...	The Earrings of Madame De...	tt0046022	Drama, Romance	97	7.9	French, Turkish	false	Charles Boyer, Danielle Darrieux, Vittorio De Sica	105	Not Rated	France, Italy	1953	true	true	90	93	"{""Title"":""The Earrings of Madame De..."",""Year"":""1953"",""Rated"":""Not Rated"",""Released"":""19 Jul 1954"",""Runtime"":""105 min"",""Genre"":""Drama, Romance"",""Director"":""Max Ophüls"",""Writer"":""Louise de Vilmorin, Marcel Achard, Max Ophüls"",""Actors"":""Charles Boyer, Danielle Darrieux, Vittorio De Sica"",""Plot"":""When an aristocratic woman known only as \""Madame de . . .\"" sells a pair of earrings given to her by her husband in order to pay some debts, she sets off a chain reaction of financial and carnal consequences that can end only in de..."",""Language"":""French, Turkish"",""Country"":""France, Italy"",""Awards"":""Nominated for 1 Oscar. 1 nomination total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BOTUzNGU0MzQtOTQ2ZC00MDViLTk0MzctNTFhOGU4ZTU4YjBkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.9/10""},{""Source"":""Rotten Tomatoes"",""Value"":""97%""}],""Metascore"":""N/A"",""imdbRating"":""7.9"",""imdbVotes"":""10,097"",""imdbID"":""tt0046022"",""Type"":""movie"",""DVD"":""06 Aug 2013"",""BoxOffice"":""$130,561"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Tokyo Story	Q26060	Yasujirō Ozu	male	Kōgo Noda&Yasujirō Ozu	male&male	東京物語	Tokyo Story	tt0046438	Drama	100	8.2	Japanese, English	false	Chishû Ryû, Chieko Higashiyama, Sô Yamamura	136	Not Rated	Japan	1953	true	true	4	3	"{""Title"":""Tokyo Story"",""Year"":""1953"",""Rated"":""Not Rated"",""Released"":""13 Mar 1972"",""Runtime"":""136 min"",""Genre"":""Drama"",""Director"":""Yasujirô Ozu"",""Writer"":""Kôgo Noda, Yasujirô Ozu"",""Actors"":""Chishû Ryû, Chieko Higashiyama, Sô Yamamura"",""Plot"":""An old couple visit their children and grandchildren in the city, but receive little attention."",""Language"":""Japanese, English"",""Country"":""Japan"",""Awards"":""3 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""62,237"",""imdbID"":""tt0046438"",""Type"":""movie"",""DVD"":""04 Nov 2003"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Ugetsu	Q1076605	Kenji Mizoguchi	male	Matsutarō Kawaguchi&Yoshikata Yoda	male&male	雨月物語	Ugetsu	tt0046478	Drama, Fantasy, War	100	8.2	Japanese	false	Masayuki Mori, Machiko Kyô, Kinuyo Tanaka	96	Not Rated	Japan	1953	true	true	90	50	"{""Title"":""Ugetsu"",""Year"":""1953"",""Rated"":""Not Rated"",""Released"":""07 Sep 1954"",""Runtime"":""96 min"",""Genre"":""Drama, Fantasy, War"",""Director"":""Kenji Mizoguchi"",""Writer"":""Hisakazu Tsuji, Akinari Ueda, Matsutarô Kawaguchi"",""Actors"":""Masayuki Mori, Machiko Kyô, Kinuyo Tanaka"",""Plot"":""A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century."",""Language"":""Japanese"",""Country"":""Japan"",""Awards"":""Nominated for 1 Oscar. 5 wins & 2 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZDdkZDQ1ODgtNzk3YS00MzQ0LTk1MzAtNDBhOGIyZTZjNGQ2XkEyXkFqcGdeQXVyNzIwNDA4NzI@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.2/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.2"",""imdbVotes"":""23,771"",""imdbID"":""tt0046478"",""Type"":""movie"",""DVD"":""08 Nov 2005"",""BoxOffice"":""$11,197"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Journey to Italy	Q385866	Roberto Rossellini	male	Roberto Rossellini&Vitaliano Brancati&Antonio Pietrangeli	male&male&male	Viaggio in Italia	Journey to Italy	tt0046511	Drama, Romance	96	7.3	English, Italian	false	Ingrid Bergman, George Sanders, Maria Mauban	97	Not Rated	Italy, France	1954	true	true	72	41	"{""Title"":""Journey to Italy"",""Year"":""1954"",""Rated"":""Not Rated"",""Released"":""08 Sep 1954"",""Runtime"":""97 min"",""Genre"":""Drama, Romance"",""Director"":""Roberto Rossellini"",""Writer"":""Vitaliano Brancati, Roberto Rossellini, Colette"",""Actors"":""Ingrid Bergman, George Sanders, Maria Mauban"",""Plot"":""An unhappily married couple attempts to find direction and insight while vacationing in Naples."",""Language"":""English, Italian"",""Country"":""Italy, France"",""Awards"":""3 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZjk0OGNlNzAtY2U3Zi00YmUwLTlmMjAtNDI0ODVjYWY2ZjI2XkEyXkFqcGdeQXVyMTEyODk3NTgz._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""96%""},{""Source"":""Metacritic"",""Value"":""100/100""}],""Metascore"":""100"",""imdbRating"":""7.3"",""imdbVotes"":""10,918"",""imdbID"":""tt0046511"",""Type"":""movie"",""DVD"":""11 Mar 2017"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Rear Window	Q34414	Alfred Hitchcock	male	John Michael Hayes&Cornell Woolrich	male&male	Rear Window	Rear Window	tt0047396	Mystery, Thriller	98	8.5	English	false	James Stewart, Grace Kelly, Wendell Corey	112	PG	United States	1954	true	true	38	53	"{""Title"":""Rear Window"",""Year"":""1954"",""Rated"":""PG"",""Released"":""01 Sep 1954"",""Runtime"":""112 min"",""Genre"":""Mystery, Thriller"",""Director"":""Alfred Hitchcock"",""Writer"":""John Michael Hayes, Cornell Woolrich"",""Actors"":""James Stewart, Grace Kelly, Wendell Corey"",""Plot"":""A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."",""Language"":""English"",""Country"":""United States"",""Awards"":""Nominated for 4 Oscars. 6 wins & 13 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.5/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""},{""Source"":""Metacritic"",""Value"":""100/100""}],""Metascore"":""100"",""imdbRating"":""8.5"",""imdbVotes"":""490,940"",""imdbID"":""tt0047396"",""Type"":""movie"",""DVD"":""07 Sep 2004"",""BoxOffice"":""$36,764,313"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Sansho the Bailiff	Q2633405	Kenji Mizoguchi	male	Yoshikata Yoda&Mori Ōgai	male&male	山椒大夫	Sansho the Bailiff	tt0047445	Drama	100	8.4	Japanese	false	Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa	124	Not Rated	Japan	1954	true	true	75	59	"{""Title"":""Sansho the Bailiff"",""Year"":""1954"",""Rated"":""Not Rated"",""Released"":""N/A"",""Runtime"":""124 min"",""Genre"":""Drama"",""Director"":""Kenji Mizoguchi"",""Writer"":""Ogai Mori, Fuji Yahiro, Yoshikata Yoda"",""Actors"":""Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa"",""Plot"":""In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."",""Language"":""Japanese"",""Country"":""Japan"",""Awards"":""2 wins & 1 nomination"",""Poster"":""https://m.media-amazon.com/images/M/MV5BZGU0YmFmMGEtYjVmZi00N2UxLTkxOWMtMzRjZDFhZDQyYzBhXkEyXkFqcGdeQXVyMTIyNzY1NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.4/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""},{""Source"":""Metacritic"",""Value"":""96/100""}],""Metascore"":""96"",""imdbRating"":""8.4"",""imdbVotes"":""16,748"",""imdbID"":""tt0047445"",""Type"":""movie"",""DVD"":""22 May 2007"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Seven Samurai	Q189540	Akira Kurosawa	male	Akira Kurosawa&Shinobu Hashimoto&Hideo Oguni	male&male&male	七人の侍	Seven Samurai	tt0047478	Action, Drama	100	8.6	Japanese	false	Toshirô Mifune, Takashi Shimura, Keiko Tsushima	207	Not Rated	Japan	1954	true	true	20	17	"{""Title"":""Seven Samurai"",""Year"":""1954"",""Rated"":""Not Rated"",""Released"":""19 Nov 1956"",""Runtime"":""207 min"",""Genre"":""Action, Drama"",""Director"":""Akira Kurosawa"",""Writer"":""Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni"",""Actors"":""Toshirô Mifune, Takashi Shimura, Keiko Tsushima"",""Plot"":""Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the village is attacked by an army of bandits."",""Language"":""Japanese"",""Country"":""Japan"",""Awards"":""Nominated for 2 Oscars. 5 wins & 8 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.6/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""},{""Source"":""Metacritic"",""Value"":""98/100""}],""Metascore"":""98"",""imdbRating"":""8.6"",""imdbVotes"":""345,850"",""imdbID"":""tt0047478"",""Type"":""movie"",""DVD"":""05 Sep 2006"",""BoxOffice"":""$318,649"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Ordet	Q2352630	Carl Theodor Dreyer	male	Carl Theodor Dreyer&Kaj Munk	male&male	Ordet	Ordet	tt0048452	Drama	100	8.3	Danish	false	Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye	126	Not Rated	Denmark	1955	true	true	48	24	"{""Title"":""Ordet"",""Year"":""1955"",""Rated"":""Not Rated"",""Released"":""10 Jan 1955"",""Runtime"":""126 min"",""Genre"":""Drama"",""Director"":""Carl Theodor Dreyer"",""Writer"":""Kaj Munk, Carl Theodor Dreyer"",""Actors"":""Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye"",""Plot"":""Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town."",""Language"":""Danish"",""Country"":""Denmark"",""Awards"":""7 wins & 2 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYjFjYzQ4ZTgtZGQ3MS00NDE2LTlmOTktYTIwOWIwMWVkYjcxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc2MDU0NDE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.3"",""imdbVotes"":""16,031"",""imdbID"":""tt0048452"",""Type"":""movie"",""DVD"":""11 May 2010"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Pather Panchali	Q622380	Satyajit Ray	male	Satyajit Ray	male	পথের পাঁচালী	Pather Panchali	tt0048473	Drama	98	8.3	Bengali	false	Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee	125	Not Rated	India	1955	true	true	35	42	"{""Title"":""Pather Panchali"",""Year"":""1955"",""Rated"":""Not Rated"",""Released"":""26 Aug 1955"",""Runtime"":""125 min"",""Genre"":""Drama"",""Director"":""Satyajit Ray"",""Writer"":""Bibhutibhushan Bandyopadhyay, Satyajit Ray"",""Actors"":""Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee"",""Plot"":""Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."",""Language"":""Bengali"",""Country"":""India"",""Awards"":""Nominated for 1 BAFTA Award11 wins & 2 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BMmFkNDY5OTktNzY3Yy00OTFlLThhNjktOTRhMmZjZmIxYjAxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""98%""}],""Metascore"":""N/A"",""imdbRating"":""8.3"",""imdbVotes"":""33,358"",""imdbID"":""tt0048473"",""Type"":""movie"",""DVD"":""17 Nov 2015"",""BoxOffice"":""$134,241"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Night of the Hunter	Q1132629	Charles Laughton	male	James Agee&Davis Grubb&Charles Laughton	male&male&male	The Night of the Hunter	The Night of the Hunter	tt0048424	Crime, Drama, Film-Noir	93	8.0	English	false	Robert Mitchum, Shelley Winters, Lillian Gish	92	Not Rated	United States	1955	true	true	25	63	"{""Title"":""The Night of the Hunter"",""Year"":""1955"",""Rated"":""Not Rated"",""Released"":""27 Jul 1955"",""Runtime"":""92 min"",""Genre"":""Crime, Drama, Film-Noir"",""Director"":""Charles Laughton"",""Writer"":""Davis Grubb, James Agee, Charles Laughton"",""Actors"":""Robert Mitchum, Shelley Winters, Lillian Gish"",""Plot"":""A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."",""Language"":""English"",""Country"":""United States"",""Awards"":""2 wins"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYTNjN2M2MzYtZGEwMi00Mzc5LWEwYTMtODM1ZmRiZjFiNTU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.0/10""},{""Source"":""Rotten Tomatoes"",""Value"":""93%""},{""Source"":""Metacritic"",""Value"":""99/100""}],""Metascore"":""99"",""imdbRating"":""8.0"",""imdbVotes"":""89,979"",""imdbID"":""tt0048424"",""Type"":""movie"",""DVD"":""25 Jan 2000"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
A Man Escaped	Q2385009	Robert Bresson	male	Robert Bresson	male	Un condamné à mort s'est échappé	A Man Escaped	tt0049902	Drama, Thriller, War	100	8.3	French, German	false	François Leterrier, Charles Le Clainche, Maurice Beerblock	101	Not Rated	France	1956	true	true	95	69	"{""Title"":""A Man Escaped"",""Year"":""1956"",""Rated"":""Not Rated"",""Released"":""26 Aug 1957"",""Runtime"":""101 min"",""Genre"":""Drama, Thriller, War"",""Director"":""Robert Bresson"",""Writer"":""André Devigny, Robert Bresson"",""Actors"":""François Leterrier, Charles Le Clainche, Maurice Beerblock"",""Plot"":""A captured French Resistance fighter during WWII engineers a daunting escape from a Nazi prison in France."",""Language"":""French, German"",""Country"":""France"",""Awards"":""Nominated for 1 BAFTA Award4 wins & 3 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYzMyYTFjYzAtOTczYS00NTU0LTg1Y2EtN2UwN2RkMDNjZDA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""100%""}],""Metascore"":""N/A"",""imdbRating"":""8.3"",""imdbVotes"":""22,597"",""imdbID"":""tt0049902"",""Type"":""movie"",""DVD"":""26 Mar 2013"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Searchers	Q276769	John Ford	male	Frank S. Nugent	male	The Searchers	The Searchers	tt0049730	Adventure, Drama, Western	94	7.9	English, Navajo, Spanish	false	John Wayne, Jeffrey Hunter, Vera Miles	119	Passed	United States	1956	true	true	15	7	"{""Title"":""The Searchers"",""Year"":""1956"",""Rated"":""Passed"",""Released"":""26 May 1956"",""Runtime"":""119 min"",""Genre"":""Adventure, Drama, Western"",""Director"":""John Ford"",""Writer"":""Frank S. Nugent, Alan Le May"",""Actors"":""John Wayne, Jeffrey Hunter, Vera Miles"",""Plot"":""An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm."",""Language"":""English, Navajo, Spanish"",""Country"":""United States"",""Awards"":""3 wins & 3 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""7.9/10""},{""Source"":""Rotten Tomatoes"",""Value"":""94%""},{""Source"":""Metacritic"",""Value"":""94/100""}],""Metascore"":""94"",""imdbRating"":""7.9"",""imdbVotes"":""90,070"",""imdbID"":""tt0049730"",""Type"":""movie"",""DVD"":""06 Jun 2006"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Wild Strawberries	Q239756	Ingmar Bergman	male	Ingmar Bergman	male	Smultronstället	Wild Strawberries	tt0050986	Drama, Romance	94	8.1	Swedish, Latin	false	Victor Sjöström, Bibi Andersson, Ingrid Thulin	91	Not Rated	Sweden	1957	false	true		63	"{""Title"":""Wild Strawberries"",""Year"":""1957"",""Rated"":""Not Rated"",""Released"":""22 Jun 1959"",""Runtime"":""91 min"",""Genre"":""Drama, Romance"",""Director"":""Ingmar Bergman"",""Writer"":""Ingmar Bergman"",""Actors"":""Victor Sjöström, Bibi Andersson, Ingrid Thulin"",""Plot"":""After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."",""Language"":""Swedish, Latin"",""Country"":""Sweden"",""Awards"":""Nominated for 1 Oscar. 18 wins & 4 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYWQxYzdhMDMtNjAyZC00NzE0LWFjYmQtYjk0YzMyYjA5NzZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""94%""},{""Source"":""Metacritic"",""Value"":""88/100""}],""Metascore"":""88"",""imdbRating"":""8.1"",""imdbVotes"":""107,650"",""imdbID"":""tt0050986"",""Type"":""movie"",""DVD"":""12 Feb 2002"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
The Seventh Seal	Q217189	Ingmar Bergman	male	Ingmar Bergman	male	Det sjunde inseglet	The Seventh Seal	tt0050976	Drama, Fantasy	93	8.1	Swedish, Latin	false	Max von Sydow, Gunnar Björnstrand, Bengt Ekerot	96	Not Rated	Sweden	1957	false	true		93	"{""Title"":""The Seventh Seal"",""Year"":""1957"",""Rated"":""Not Rated"",""Released"":""13 Oct 1958"",""Runtime"":""96 min"",""Genre"":""Drama, Fantasy"",""Director"":""Ingmar Bergman"",""Writer"":""Ingmar Bergman"",""Actors"":""Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"",""Plot"":""A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."",""Language"":""Swedish, Latin"",""Country"":""Sweden"",""Awards"":""10 wins & 2 nominations"",""Poster"":""https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.1/10""},{""Source"":""Rotten Tomatoes"",""Value"":""93%""},{""Source"":""Metacritic"",""Value"":""88/100""}],""Metascore"":""88"",""imdbRating"":""8.1"",""imdbVotes"":""185,923"",""imdbID"":""tt0050976"",""Type"":""movie"",""DVD"":""04 Dec 2007"",""BoxOffice"":""N/A"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
Vertigo	Q202548	Alfred Hitchcock	male	Alec Coppel&Samuel A. Taylor&Maxwell Anderson&Boileau-Narcejac&Thomas Narcejac	male&male&male&male	Vertigo	Vertigo	tt0052357	Mystery, Romance, Thriller	93	8.3	English	false	James Stewart, Kim Novak, Barbara Bel Geddes	128	PG	United States	1958	true	true	2	1	"{""Title"":""Vertigo"",""Year"":""1958"",""Rated"":""PG"",""Released"":""22 May 1958"",""Runtime"":""128 min"",""Genre"":""Mystery, Romance, Thriller"",""Director"":""Alfred Hitchcock"",""Writer"":""Alec Coppel, Samuel A. Taylor, Pierre Boileau"",""Actors"":""James Stewart, Kim Novak, Barbara Bel Geddes"",""Plot"":""A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."",""Language"":""English"",""Country"":""United States"",""Awards"":""Nominated for 2 Oscars. 9 wins & 7 nominations total"",""Poster"":""https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg"",""Ratings"":[{""Source"":""Internet Movie Database"",""Value"":""8.3/10""},{""Source"":""Rotten Tomatoes"",""Value"":""93%""},{""Source"":""Metacritic"",""Value"":""100/100""}],""Metascore"":""100"",""imdbRating"":""8.3"",""imdbVotes"":""402,208"",""imdbID"":""tt0052357"",""Type"":""movie"",""DVD"":""25 Jan 2001"",""BoxOffice"":""$7,705,225"",""Production"":""N/A"",""Website"":""N/A"",""Response"":""True""}"
